Red,Green,Blue
0.405,0.378,0.216
0.405,0.378,0.216
0.405,0.378,0.216
0.405,0.378,0.216
0.405,0.378,0.216
0.405,0.378,0.216
0.405,0.378,0.216
0.405,0.378,0.216
0.405,0.378,0.216
0.405,0.378,0.216
0.405,0.378,0.216
0.405,0.378,0.216
0.405,0.378,0.216
0.405,0.378,0.216
0.405,0.378,0.216
0.405,0.378,0.216
0.405,0.378,0.216
0.405,0.378,0.216
0.405,0.378,0.216
0.417,0.361,0.222
0.405,0.378,0.216
0.417,0.361,0.222
0.417,0.361,0.222
0.412,0.353,0.235
0.433,0.333,0.233
0.419,0.355,0.226
0.400,0.371,0.229
0.412,0.382,0.206
0.412,0.382,0.206
0.412,0.382,0.206
0.424,0.364,0.212
0.424,0.364,0.212
0.424,0.364,0.212
0.406,0.375,0.219
0.419,0.355,0.226
0.414,0.345,0.241
0.414,0.345,0.241
0.414,0.345,0.241
0.429,0.357,0.214
0.433,0.333,0.233
0.419,0.355,0.226
0.433,0.333,0.233
0.444,0.333,0.222
0.444,0.333,0.222
0.440,0.320,0.240
0.455,0.318,0.227
0.450,0.300,0.250
0.500,0.278,0.222
0.471,0.294,0.235
0.471,0.294,0.235
0.450,0.300,0.250
0.476,0.286,0.238
0.458,0.292,0.250
0.458,0.292,0.250
0.462,0.308,0.231
0.444,0.296,0.259
0.444,0.296,0.259
0.444,0.306,0.250
0.435,0.323,0.242
0.432,0.321,0.247
0.440,0.321,0.238
0.443,0.318,0.239
0.439,0.317,0.244
0.442,0.312,0.247
0.437,0.310,0.253
0.431,0.319,0.250
0.419,0.311,0.270
0.417,0.314,0.269
0.413,0.314,0.273
0.410,0.308,0.282
0.410,0.305,0.285
0.404,0.300,0.296
0.404,0.300,0.296
0.405,0.295,0.300
0.410,0.288,0.302
0.405,0.290,0.305
0.406,0.286,0.308
0.409,0.282,0.309
0.411,0.282,0.307
0.408,0.279,0.313
0.407,0.279,0.314
0.417,0.272,0.311
0.427,0.264,0.309
0.451,0.275,0.275
0.450,0.275,0.275
0.447,0.289,0.263
0.457,0.286,0.257
0.455,0.303,0.242
0.455,0.303,0.242
0.455,0.303,0.242
0.444,0.306,0.250
0.444,0.306,0.250
0.455,0.303,0.242
0.467,0.300,0.233
0.481,0.296,0.222
0.480,0.280,0.240
0.500,0.273,0.227
0.476,0.286,0.238
0.450,0.300,0.250
0.450,0.300,0.250
0.450,0.300,0.250
0.421,0.316,0.263
0.421,0.316,0.263
0.421,0.316,0.263
0.421,0.316,0.263
0.421,0.316,0.263
0.450,0.300,0.250
0.450,0.300,0.250
0.429,0.286,0.286
0.409,0.318,0.273
0.417,0.292,0.292
0.417,0.292,0.292
0.400,0.320,0.280
0.417,0.292,0.292
0.417,0.292,0.292
0.417,0.292,0.292
0.435,0.304,0.261
0.435,0.304,0.261
0.435,0.304,0.261
0.435,0.304,0.261
0.435,0.304,0.261
0.435,0.304,0.261
0.435,0.304,0.261
0.409,0.318,0.273
0.409,0.318,0.273
0.429,0.286,0.286
0.450,0.300,0.250
0.421,0.316,0.263
0.421,0.316,0.263
0.421,0.316,0.263
0.444,0.278,0.278
0.471,0.294,0.235
0.444,0.278,0.278
0.412,0.294,0.294
0.412,0.294,0.294
0.412,0.294,0.294
0.437,0.312,0.250
0.429,0.286,0.286
0.462,0.308,0.231
0.412,0.294,0.294
0.412,0.294,0.294
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.467,0.267,0.267
0.467,0.267,0.267
0.429,0.286,0.286
0.429,0.286,0.286
