Red,Green,Blue
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.262,0.429,0.310
0.290,0.419,0.290
0.292,0.417,0.292
0.286,0.429,0.286
0.316,0.368,0.316
0.357,0.357,0.286
0.364,0.364,0.273
0.308,0.385,0.308
0.269,0.423,0.308
0.273,0.424,0.303
0.263,0.421,0.316
0.263,0.421,0.316
0.256,0.436,0.308
0.256,0.436,0.308
0.268,0.415,0.317
0.268,0.415,0.317
0.268,0.415,0.317
0.268,0.415,0.317
0.268,0.415,0.317
0.268,0.415,0.317
0.268,0.415,0.317
0.262,0.429,0.310
0.268,0.415,0.317
0.268,0.415,0.317
0.268,0.415,0.317
0.268,0.415,0.317
0.268,0.415,0.317
0.268,0.415,0.317
0.262,0.429,0.310
0.275,0.425,0.300
0.278,0.444,0.278
0.286,0.457,0.257
0.276,0.483,0.241
0.273,0.455,0.273
0.273,0.455,0.273
0.269,0.500,0.231
0.269,0.500,0.231
0.250,0.500,0.250
0.250,0.500,0.250
0.278,0.444,0.278
0.333,0.417,0.250
0.364,0.364,0.273
0.278,0.444,0.278
0.317,0.400,0.283
0.344,0.391,0.266
0.323,0.403,0.274
0.358,0.346,0.296
0.352,0.352,0.297
0.355,0.355,0.290
0.354,0.354,0.292
0.353,0.353,0.294
0.352,0.352,0.295
0.358,0.349,0.292
0.355,0.345,0.300
0.363,0.336,0.301
0.362,0.336,0.302
0.344,0.344,0.311
0.359,0.336,0.305
0.370,0.333,0.296
0.370,0.331,0.299
0.363,0.330,0.308
0.363,0.325,0.312
0.375,0.304,0.321
0.382,0.265,0.353
0.375,0.250,0.375
0.400,0.300,0.300
0.333,0.333,0.333
0.375,0.375,0.250
0.333,0.333,0.333
0.400,0.300,0.300
0.400,0.300,0.300
0.400,0.300,0.300
0.400,0.300,0.300
0.400,0.300,0.300
0.333,0.333,0.333
0.400,0.300,0.300
0.400,0.300,0.300
0.400,0.300,0.300
0.400,0.300,0.300
0.400,0.300,0.300
0.400,0.300,0.300
0.400,0.300,0.300
0.400,0.300,0.300
0.400,0.300,0.300
0.400,0.300,0.300
0.400,0.300,0.300
0.400,0.300,0.300
0.400,0.300,0.300
0.364,0.364,0.273
0.400,0.300,0.300
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.357,0.357,0.286
0.357,0.357,0.286
0.417,0.333,0.250
0.357,0.357,0.286
0.385,0.385,0.231
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.357,0.357,0.286
0.308,0.385,0.308
0.364,0.364,0.273
0.333,0.333,0.333
0.364,0.364,0.273
0.364,0.364,0.273
0.364,0.364,0.273
