aX,aY,aZ,gX,gY,gZ
1.194,-0.590,1.181,-87.158,-135.925,-42.603
1.204,-0.702,1.372,-110.107,-149.597,-74.097
1.139,-0.801,1.536,-121.948,-154.785,-97.534
1.029,-0.898,1.670,-117.126,-150.391,-102.905
0.917,-0.946,1.731,-99.182,-133.301,-85.999
0.806,-0.948,1.800,-82.153,-100.403,-47.058
0.729,-0.765,1.828,-54.626,-58.716,-9.155
0.733,-0.618,1.739,-12.512,-11.047,26.428
0.767,-0.563,1.512,34.851,29.907,55.481
0.784,-0.427,1.288,68.665,58.655,79.285
0.755,-0.253,1.089,87.219,74.707,88.562
0.700,-0.079,0.940,92.224,80.200,82.153
0.640,0.107,0.812,88.745,79.041,65.857
0.510,0.254,0.680,87.036,71.594,46.936
0.375,0.441,0.521,85.815,59.875,35.889
0.327,0.537,0.403,78.613,47.241,36.133
0.319,0.552,0.309,68.298,36.743,41.321
0.349,0.549,0.197,61.768,28.198,47.058
0.433,0.545,0.177,43.274,24.719,52.917
0.516,0.545,0.195,24.597,18.311,54.443
0.529,0.612,0.217,4.211,4.211,50.598
0.556,0.620,0.261,-12.085,-8.484,43.274
0.571,0.569,0.287,-27.039,-19.897,29.785
0.563,0.498,0.300,-46.631,-33.020,13.916
0.577,0.501,0.345,-72.632,-46.814,0.793
0.543,0.499,0.428,-98.816,-58.472,-4.517
0.559,0.476,0.528,-121.216,-65.735,-7.141
0.621,0.414,0.654,-137.146,-64.758,-8.545
0.703,0.257,0.802,-149.292,-60.852,-15.625
0.766,0.273,0.893,-162.292,-64.880,-37.537
0.888,0.214,0.981,-166.138,-63.782,-50.110
1.029,0.204,1.142,-163.147,-58.838,-56.702
1.115,0.237,1.258,-159.546,-55.969,-68.604
1.124,0.208,1.367,-159.973,-45.654,-86.914
1.096,0.143,1.506,-157.288,-31.494,-105.652
0.951,0.021,1.572,-151.672,-23.865,-119.934
0.847,-0.091,1.609,-138.550,-15.686,-128.113
0.788,-0.185,1.637,-127.136,-10.193,-135.864
0.759,-0.250,1.661,-116.028,-9.094,-144.287
0.783,-0.264,1.699,-99.915,-6.958,-153.198
0.865,-0.239,1.761,-82.825,-3.235,-166.687
0.822,-0.239,1.850,-62.927,4.883,-173.767
0.784,-0.240,1.847,-35.828,17.273,-188.049
0.721,-0.274,1.802,-5.493,38.513,-200.134
0.667,-0.306,1.723,24.292,59.753,-197.327
0.676,-0.331,1.625,49.255,70.557,-183.105
0.707,-0.356,1.548,68.665,76.355,-161.987
0.695,-0.398,1.514,83.252,80.872,-142.578
0.705,-0.388,1.530,96.313,89.722,-127.014
0.704,-0.421,1.573,116.272,99.060,-112.366
0.744,-0.421,1.541,135.620,114.075,-94.727
0.698,-0.485,1.478,149.597,129.761,-77.759
0.631,-0.623,1.396,163.391,137.085,-65.491
0.576,-0.625,1.267,158.447,138.123,-50.293
0.480,-0.763,1.190,163.940,133.728,-38.452
0.410,-0.835,1.138,164.368,128.113,-27.222
0.431,-0.805,1.105,160.828,123.474,-18.921
0.435,-0.840,1.080,162.598,115.723,-16.357
0.449,-0.865,1.031,164.612,106.628,-15.747
0.487,-0.919,0.983,167.542,96.008,-14.709
0.567,-0.993,0.953,172.424,82.764,-17.090
0.539,-1.031,0.904,176.636,65.979,-24.597
0.521,-1.023,0.897,184.814,52.673,-33.020
0.575,-1.021,0.912,195.740,46.021,-38.696
0.638,-1.060,0.911,202.271,40.527,-46.021
0.639,-1.135,0.921,205.505,35.645,-55.664
0.616,-1.195,0.911,207.397,32.898,-67.200
0.575,-1.251,0.874,209.839,33.020,-76.050
0.573,-1.299,0.830,215.637,37.048,-74.402
0.564,-1.320,0.762,223.206,41.626,-67.200
0.567,-1.320,0.716,228.699,48.035,-55.725
0.549,-1.309,0.699,226.624,52.185,-43.457
0.510,-1.294,0.685,219.482,54.688,-30.212
0.477,-1.272,0.664,211.609,58.533,-13.611
0.455,-1.226,0.630,204.529,65.125,5.676
0.420,-1.161,0.582,201.416,76.782,26.306
0.396,-1.093,0.523,203.918,91.064,46.387
0.354,-1.031,0.444,209.351,104.553,63.171
0.342,-0.972,0.336,213.989,114.685,72.449
0.333,-0.925,0.230,219.116,122.070,72.083
0.325,-0.872,0.136,223.328,124.390,63.477
0.269,-0.827,0.054,224.365,121.033,49.988
0.241,-0.810,-0.047,223.633,114.746,37.048
0.182,-0.822,-0.142,223.022,105.835,28.564
0.093,-0.830,-0.193,220.154,95.093,26.184
0.010,-0.810,-0.231,216.614,82.153,26.917
-0.040,-0.784,-0.281,213.318,67.383,30.029
-0.017,-0.763,-0.346,207.886,50.720,35.461
0.057,-0.760,-0.384,199.646,35.095,39.917
0.138,-0.782,-0.375,190.186,23.376,41.809
0.151,-0.761,-0.341,179.749,16.602,39.978
0.158,-0.734,-0.295,171.997,14.038,35.950
0.110,-0.681,-0.265,169.739,10.742,30.273
0.020,-0.633,-0.298,170.288,5.859,25.085
0.032,-0.639,-0.342,169.983,-3.784,23.132
0.070,-0.677,-0.409,171.570,-19.043,23.132
0.136,-0.682,-0.416,163.208,-34.424,24.170
0.133,-0.669,-0.346,149.963,-47.058,22.766
0.110,-0.649,-0.271,140.869,-58.289,19.470
0.094,-0.611,-0.257,136.292,-65.430,17.761
0.095,-0.619,-0.277,136.292,-69.763,22.949
0.089,-0.626,-0.309,137.573,-70.007,32.715
0.087,-0.593,-0.283,130.310,-66.711,44.434
0.099,-0.569,-0.283,124.390,-62.744,54.993
0.087,-0.523,-0.290,118.042,-56.641,64.575
0.076,-0.502,-0.322,110.962,-48.828,75.745
0.056,-0.476,-0.328,97.168,-44.495,86.609
0.008,-0.410,-0.330,76.538,-45.593,97.900
-0.070,-0.331,-0.323,53.528,-50.232,111.755
-0.055,-0.270,-0.313,27.100,-55.542,125.061
-0.059,-0.198,-0.295,13.306,-56.580,133.301
-0.051,-0.144,-0.268,7.690,-54.016,136.780
-0.030,-0.116,-0.223,12.268,-50.293,138.977
-0.056,-0.053,-0.170,17.700,-49.744,139.099
-0.090,-0.005,-0.115,20.386,-50.720,138.123
-0.108,0.037,-0.040,27.405,-48.767,136.230
-0.085,0.182,0.056,33.569,-45.593,133.362
-0.026,0.220,0.046,38.635,-43.030,129.517
0.007,0.437,0.130,31.189,-39.490,123.535
1.404,0.706,0.622,-38.635,-218.384,-56.519
1.423,0.719,0.575,-15.503,-204.956,-64.026
1.374,0.729,0.492,-3.113,-188.049,-69.397
1.282,0.703,0.408,0.244,-165.588,-68.787
1.282,0.673,0.351,-4.333,-142.944,-60.913
1.239,0.648,0.359,-23.132,-131.409,-55.603
1.263,0.631,0.408,-49.805,-127.869,-53.650
1.280,0.592,0.478,-78.735,-130.005,-55.603
1.319,0.472,0.538,-109.680,-137.512,-62.439
1.425,0.435,0.633,-132.874,-148.071,-68.970
1.516,0.406,0.693,-144.897,-156.799,-76.904
1.535,0.441,0.761,-150.269,-165.710,-90.088
1.537,0.482,0.795,-151.367,-173.523,-108.337
1.495,0.465,0.790,-145.874,-181.702,-126.404
1.405,0.445,0.761,-139.465,-188.599,-138.916
1.255,0.367,0.760,-134.399,-194.885,-145.325
1.121,0.248,0.768,-137.451,-198.242,-147.217
1.047,0.164,0.798,-147.217,-192.688,-141.663
0.981,0.133,0.857,-156.982,-179.382,-132.874
0.986,0.109,0.907,-167.053,-161.804,-127.319
1.038,0.119,0.970,-178.162,-145.447,-125.244
1.076,0.150,1.041,-188.232,-135.559,-126.526
1.105,0.184,1.078,-197.021,-131.775,-132.324
1.118,0.184,1.099,-201.538,-134.644,-144.287
1.073,0.231,1.121,-204.590,-143.982,-157.532
0.999,0.255,1.131,-210.937,-155.273,-171.387
0.889,0.309,1.068,-220.398,-160.828,-186.768
0.802,0.275,1.074,-226.990,-162.964,-200.012
0.740,0.196,1.005,-227.295,-164.978,-202.942
0.680,0.121,1.005,-217.712,-166.809,-196.228
0.670,0.097,0.994,-202.209,-170.654,-178.101
0.736,0.069,1.011,-194.275,-170.837,-153.748
0.858,0.123,1.133,-194.153,-171.082,-133.301
0.958,0.178,1.274,-189.941,-168.091,-125.183
1.028,0.231,1.369,-178.528,-163.879,-130.615
1.023,0.226,1.373,-169.617,-168.152,-147.888
0.966,0.297,1.383,-171.509,-187.195,-164.795
0.876,0.420,1.449,-183.838,-213.928,-180.908
0.716,0.489,1.480,-187.195,-239.319,-197.021
0.464,0.422,1.500,-166.016,-255.615,-206.970
0.283,0.365,1.454,-142.517,-254.395,-208.008
0.073,0.315,1.325,-127.258,-243.164,-202.271
0.158,0.301,1.013,-122.559,-227.173,-186.218
0.141,0.232,1.070,-134.094,-217.896,-172.058
0.076,0.267,1.063,-131.775,-208.130,-158.691
0.008,0.138,1.049,-112.427,-181.274,-155.823
-0.046,0.258,1.028,-92.896,-149.719,-159.119
-0.007,0.221,0.926,-72.388,-132.629,-173.462
-0.151,0.238,0.872,-59.998,-146.179,-184.692
-0.271,0.292,0.839,-53.589,-176.086,-180.359
-0.385,0.295,0.649,-62.012,-197.449,-182.251
-0.265,0.316,0.623,-62.500,-173.889,-156.128
-0.161,0.194,0.765,-42.297,-142.151,-134.338
-0.135,0.051,0.774,-18.982,-109.680,-129.883
-0.035,-0.068,0.912,0.916,-79.529,-138.367
0.013,-0.058,1.027,-1.587,-66.833,-152.771
0.035,0.028,1.120,-12.573,-56.702,-158.508
0.085,0.073,1.187,-10.376,-40.405,-149.353
0.116,0.036,1.194,7.812,-22.888,-125.732
0.154,-0.079,1.210,26.001,-11.536,-98.450
0.161,-0.168,1.203,32.776,-13.977,-83.008
0.199,-0.153,1.235,27.771,-20.813,-80.322
0.279,-0.151,1.295,34.241,-24.902,-87.463
0.296,-0.095,1.310,42.908,-35.522,-96.680
0.289,-0.041,1.323,55.908,-39.734,-104.736
0.302,-0.016,1.328,72.998,-34.363,-114.746
0.279,-0.026,1.323,88.196,-26.306,-125.671
0.230,-0.053,1.304,95.825,-16.907,-131.836
0.174,-0.100,1.314,97.656,-6.897,-133.606
0.153,-0.156,1.276,97.168,-0.061,-131.653
