aX,aY,aZ,gX,gY,gZ
-0.348,-0.591,-1.088,-117.004,-77.881,64.514
-0.342,-0.555,-1.025,-163.818,-123.901,85.571
-0.421,-0.559,-0.880,-191.040,-157.593,88.684
-0.454,-0.570,-0.707,-210.876,-168.152,83.923
-0.389,-0.641,-0.587,-175.232,-155.212,72.021
-0.265,-0.688,-0.478,-127.441,-127.197,62.012
-0.187,-0.682,-0.464,-80.566,-96.130,60.730
-0.082,-0.620,-0.493,-44.922,-71.899,66.406
-0.383,-1.077,-1.001,-47.852,-63.599,88.684
-0.515,-1.308,-0.833,-171.082,-97.778,194.214
-0.199,-0.506,-0.249,-151.550,-132.263,319.824
-0.049,0.233,-0.091,-49.927,-107.788,301.270
-0.098,-0.295,-0.400,-75.806,-45.105,179.993
-0.200,-0.945,-0.650,-102.234,-13.794,92.041
-0.157,-1.023,-0.607,-106.262,-20.020,94.666
-0.071,-0.788,-0.505,-90.881,-35.461,137.756
-0.007,-0.545,-0.397,-72.876,-42.603,154.663
-0.014,-0.609,-0.372,-72.021,-40.588,129.272
0.018,-0.679,-0.295,-76.660,-35.645,103.638
0.061,-0.769,-0.278,-62.683,-25.208,95.215
0.069,-0.927,-0.342,-51.270,-9.399,98.511
0.044,-1.259,-0.503,-36.316,1.526,114.746
0.123,-1.215,-0.493,-10.437,-2.625,158.081
0.276,-0.756,-0.544,31.311,-13.367,200.073
0.361,-0.554,-0.733,10.986,-24.048,189.819
0.468,-0.474,-0.492,-22.827,-37.292,131.836
0.602,-0.231,-0.170,5.615,-65.369,67.505
0.495,-0.600,-0.147,-0.549,-66.833,13.306
0.355,-1.007,-0.117,-35.400,-37.720,-24.109
0.373,-1.127,-0.204,-9.155,-1.465,-25.879
0.355,-1.097,-0.425,31.616,29.602,-14.648
0.353,-1.108,-0.560,24.597,41.138,-10.559
0.342,-1.073,-0.573,12.024,30.457,-5.798
0.333,-0.982,-0.434,10.437,12.756,1.160
0.373,-0.853,-0.279,11.475,1.892,6.409
0.390,-0.757,-0.196,14.648,1.953,7.446
0.349,-0.728,-0.171,15.869,9.155,6.897
0.423,-0.788,0.041,23.254,22.400,11.719
0.414,-0.946,0.139,82.886,69.824,24.353
0.259,-0.993,-0.213,118.347,153.320,37.170
0.159,-0.932,-0.686,152.893,188.721,50.903
0.197,-0.748,-0.810,153.564,174.011,57.068
0.182,-0.676,-0.948,152.710,141.846,47.913
0.146,-0.522,-0.960,138.428,101.013,29.114
0.243,-0.608,-0.871,128.540,59.204,14.465
0.289,-0.847,-0.932,138.916,25.269,-26.794
-0.060,-1.056,-0.708,7.263,-9.094,-99.854
-0.229,-1.367,-0.418,-157.715,-58.960,-154.114
-0.089,-1.744,-0.231,-310.669,-70.801,-205.872
0.176,-2.123,-0.077,-388.672,-44.495,-197.876
-0.367,-2.488,-0.204,-321.594,-22.644,-134.460
-0.391,-2.533,-0.232,-170.349,-20.386,-43.335
-0.006,-1.359,-0.363,-140.869,-29.480,69.275
-0.306,-0.512,-0.871,-166.809,-78.674,93.201
-0.151,-0.252,1.792,-260.803,-131.592,23.132
-0.263,-0.350,0.255,-250.000,-48.340,-35.278
-0.688,-1.705,0.197,-192.566,20.935,-98.022
-0.405,-2.362,0.701,-353.394,86.304,-57.495
0.474,-1.558,-3.759,37.476,99.609,38.574
-0.231,-2.067,-1.798,894.165,-165.955,91.675
-0.062,-0.281,1.820,-414.429,-156.311,115.845
-0.387,-2.212,0.051,-352.600,-17.883,125.366
0.089,0.135,-0.145,-239.014,14.099,194.275
-0.034,-0.694,0.257,-368.713,48.401,134.521
-0.105,-1.506,0.083,-393.860,60.913,63.965
-0.057,-1.460,0.154,-310.791,50.598,61.707
-0.270,-1.817,0.447,-238.708,24.597,55.176
-0.006,-0.660,-0.030,18.677,-23.254,40.833
0.111,-0.604,-0.418,364.990,-61.646,-9.888
0.191,-0.893,-0.208,473.511,-61.462,-34.790
0.181,-1.018,0.124,342.407,-17.029,-51.819
0.161,-1.030,0.105,168.945,49.011,-60.120
0.097,-1.218,-0.070,94.849,85.449,-56.274
0.090,-1.371,-0.260,69.092,99.182,-42.908
0.147,-1.291,-0.422,42.969,105.835,-35.278
0.101,-1.276,-0.485,12.573,98.328,-39.490
0.142,-1.332,-0.506,2.808,87.402,-47.729
0.104,-1.345,-0.397,19.104,78.369,-43.518
-0.053,-1.384,-0.429,41.565,80.750,-25.574
0.135,-1.296,-0.288,51.514,82.825,3.479
0.170,-1.271,-0.351,56.946,83.435,22.949
0.245,-1.202,-0.349,52.307,78.796,45.959
0.335,-1.112,-0.329,45.166,72.815,69.824
-0.735,-0.987,-0.168,59.631,70.313,100.952
0.273,-0.838,-0.604,212.219,76.599,148.682
1.116,-0.359,-0.892,386.963,79.773,146.545
0.185,-1.007,-0.381,663.391,31.250,123.169
0.141,-0.670,-0.736,526.978,49.988,117.310
0.325,-0.952,-0.671,364.380,64.575,101.990
0.255,-0.757,-0.893,164.917,93.201,94.116
0.400,-0.603,-1.030,84.839,110.962,98.694
0.480,-0.781,-1.006,97.473,107.239,104.126
0.597,-0.677,-1.080,33.569,106.934,124.756
0.528,-0.669,-1.223,-40.405,92.285,137.512
0.628,-0.572,-1.226,-2.380,70.862,144.287
0.723,-0.399,-1.212,44.189,55.542,153.259
0.670,-0.240,-0.988,51.819,41.748,163.269
0.519,-0.271,-0.783,43.396,33.264,171.875
0.525,-0.323,-0.688,22.339,31.006,175.720
0.527,-0.307,-0.668,-4.822,31.860,169.800
0.498,-0.249,-0.702,-36.621,31.372,159.363
0.484,-0.201,-0.736,-61.279,28.198,146.301
0.555,-0.207,-0.819,-73.364,19.836,140.869
0.556,-0.133,-0.822,-77.881,7.629,141.602
0.619,-0.145,-0.783,-65.247,-6.042,137.207
0.455,-0.182,-0.834,-37.537,-6.165,132.385
0.281,-0.068,-0.879,-49.438,11.292,144.043
0.178,0.123,-0.769,-94.543,34.912,151.550
-0.130,0.408,-0.724,-129.700,50.232,145.996
0.406,-0.096,-0.352,-34.973,68.298,114.868
0.403,0.006,-0.485,-28.564,79.346,96.069
0.223,0.044,-0.545,-44.006,68.237,81.482
0.434,-0.031,-0.551,-32.104,59.082,73.730
0.404,-0.083,-0.659,-40.161,50.171,71.899
0.434,-0.201,-0.668,-46.753,42.419,63.293
0.387,-0.118,-0.724,-57.556,43.823,48.889
0.430,-0.324,-0.767,-24.536,53.223,32.898
0.735,-0.473,-0.952,9.155,62.866,25.940
0.687,-0.215,-1.235,-33.081,72.815,26.733
-0.525,0.232,-2.072,-4.395,7.996,14.465
-0.512,0.257,-2.081,-13.977,0.610,16.968
-0.451,0.269,-2.056,-26.978,-5.920,20.630
-0.365,0.288,-1.978,-43.396,-12.756,23.865
-0.309,0.300,-1.857,-58.472,-19.348,23.621
-0.304,0.295,-1.740,-68.665,-24.841,19.043
-0.311,0.272,-1.639,-74.524,-31.982,12.268
-0.292,0.242,-1.535,-77.148,-39.917,8.606
-0.279,0.228,-1.463,-78.369,-45.837,9.521
-0.264,0.232,-1.398,-79.712,-47.852,11.719
-0.226,0.224,-1.333,-80.322,-44.739,13.611
-0.172,0.209,-1.287,-81.726,-37.903,16.113
-0.130,0.194,-1.261,-84.778,-28.442,19.287
-0.100,0.186,-1.232,-87.708,-19.287,20.874
-0.080,0.190,-1.214,-89.844,-12.695,21.423
-0.071,0.201,-1.203,-92.346,-9.583,22.217
-0.079,0.196,-1.183,-94.238,-12.146,22.888
