aX,aY,aZ,gX,gY,gZ
-0.485,0.521,-1.869,85.022,-31.067,50.232
-0.558,0.558,-1.806,82.581,-65.857,54.260
-0.582,0.579,-1.721,74.463,-105.164,66.711
-0.561,0.560,-1.629,65.125,-140.442,84.229
-0.526,0.531,-1.521,58.472,-165.405,103.821
-0.486,0.531,-1.399,47.729,-183.411,128.601
-0.481,0.563,-1.261,37.781,-194.763,153.137
-0.457,0.632,-1.118,25.391,-198.364,174.988
-0.398,0.734,-1.003,11.108,-193.115,191.772
-0.370,0.802,-0.918,-8.972,-180.237,204.407
-0.397,0.801,-0.773,-24.719,-167.664,212.219
-0.299,0.824,-0.559,-39.795,-164.917,210.754
-0.297,0.846,-0.251,-65.430,-177.246,195.496
-0.309,0.888,0.113,-85.205,-202.637,161.926
-0.266,0.947,0.570,-93.384,-238.281,109.436
-0.242,0.976,1.016,-83.374,-275.696,40.466
-0.331,0.988,1.385,-46.509,-310.913,-40.955
-0.383,0.962,1.574,12.512,-338.623,-117.249
-0.314,0.956,1.586,60.303,-346.558,-147.034
-0.232,0.993,1.490,77.942,-329.285,-108.215
-0.047,1.124,1.483,62.012,-289.795,-19.531
0.096,1.344,1.578,20.386,-232.117,86.365
0.341,1.543,1.718,-12.817,-167.725,181.519
0.721,1.709,1.739,-24.109,-109.131,243.713
1.149,1.851,1.648,-13.123,-69.824,254.578
1.480,1.848,1.444,13.672,-61.157,212.219
1.660,1.733,1.153,48.523,-73.608,135.986
1.634,1.635,0.830,71.899,-82.764,57.678
1.511,1.551,0.542,71.960,-81.421,-4.211
1.283,1.404,0.329,60.913,-69.397,-35.156
1.049,1.220,0.145,43.762,-47.546,-41.748
0.867,1.036,0.009,19.714,-20.325,-34.058
0.725,0.869,-0.050,-3.296,1.404,-21.118
0.616,0.729,-0.060,-21.729,14.160,-10.315
0.520,0.619,-0.063,-36.011,18.555,-5.981
0.435,0.569,-0.054,-40.222,18.494,-5.371
0.362,0.559,-0.061,-34.424,17.944,-5.981
0.322,0.586,-0.098,-22.400,16.907,-7.202
0.294,0.642,-0.136,-9.338,14.709,-7.568
0.307,0.713,-0.164,-0.488,11.719,-6.653
0.350,0.768,-0.190,4.028,9.338,-5.432
0.391,0.797,-0.225,5.859,7.751,-5.676
0.405,0.808,-0.264,6.226,7.935,-9.155
0.395,0.811,-0.287,3.235,7.935,-16.296
0.364,0.811,-0.285,-2.380,6.897,-23.437
0.335,0.804,-0.254,-9.033,5.310,-28.687
0.330,0.792,-0.206,-15.137,4.272,-31.494
0.329,0.769,-0.155,-19.043,4.395,-33.081
0.288,0.737,-0.119,-19.897,6.104,-34.546
0.373,0.748,-0.107,-20.081,8.118,-35.767
0.350,0.725,-0.120,-18.677,13.672,-35.645
0.402,0.743,-0.115,-16.724,17.517,-39.795
0.410,0.757,-0.090,-15.625,14.343,-33.630
0.448,0.761,-0.099,-14.832,12.146,-27.954
0.502,0.773,-0.100,-15.381,15.076,-25.574
0.534,0.784,-0.078,-15.564,17.456,-20.569
0.564,0.806,-0.049,-16.235,20.081,-16.052
0.590,0.830,-0.018,-18.494,23.804,-13.916
0.590,0.849,0.009,-19.592,28.076,-13.916
0.587,0.863,0.022,-19.226,33.447,-15.625
0.576,0.870,0.023,-17.761,39.124,-19.409
0.558,0.871,0.018,-15.442,42.603,-23.437
0.543,0.849,-0.002,-11.108,44.861,-27.954
0.530,0.831,-0.030,-6.836,47.485,-31.982
0.505,0.840,-0.040,-5.615,51.331,-33.447
0.486,0.861,-0.037,-5.859,55.969,-32.471
0.482,0.876,-0.047,-5.737,61.218,-30.090
0.473,0.875,-0.080,-5.188,67.322,-26.978
0.458,0.858,-0.115,-5.554,72.388,-25.269
0.442,0.833,-0.147,-6.714,74.158,-25.879
0.438,0.806,-0.175,-7.629,72.388,-28.442
0.444,0.796,-0.192,-7.385,68.176,-31.433
0.448,0.798,-0.197,-8.362,65.247,-34.180
0.451,0.804,-0.188,-10.986,64.087,-37.964
0.441,0.805,-0.191,-11.841,65.735,-40.955
0.436,0.787,-0.226,-10.315,67.871,-41.809
0.436,0.753,-0.287,-5.798,68.665,-42.175
0.448,0.723,-0.349,-2.502,67.505,-44.006
0.459,0.710,-0.381,-2.014,65.552,-46.265
0.480,0.717,-0.384,-3.662,62.134,-47.974
0.493,0.727,-0.386,-5.371,58.777,-49.744
0.492,0.722,-0.401,-6.409,57.617,-52.002
0.471,0.714,-0.430,-7.874,59.509,-53.711
0.463,0.700,-0.465,-9.583,60.608,-53.711
0.470,0.671,-0.513,-9.705,58.777,-52.185
0.492,0.651,-0.559,-8.301,55.908,-51.025
0.514,0.653,-0.581,-9.338,51.575,-50.354
0.508,0.656,-0.584,-11.536,47.913,-49.683
0.507,0.650,-0.578,-13.672,45.898,-50.232
0.501,0.646,-0.566,-15.991,44.922,-50.964
0.495,0.646,-0.552,-19.165,43.152,-50.659
0.502,0.639,-0.547,-22.461,41.138,-49.438
0.503,0.615,-0.536,-24.109,39.795,-47.180
0.529,0.596,-0.522,-24.597,40.649,-46.021
0.546,0.582,-0.522,-23.987,42.236,-43.457
0.553,0.572,-0.526,-23.865,42.358,-40.955
0.537,0.564,-0.542,-23.193,43.396,-39.490
0.532,0.559,-0.554,-23.132,43.091,-38.635
0.528,0.549,-0.556,-23.926,41.504,-35.767
0.527,0.537,-0.563,-24.414,40.588,-32.715
0.539,0.531,-0.565,-24.170,39.917,-30.762
0.548,0.536,-0.557,-24.658,38.574,-27.588
0.561,0.539,-0.546,-24.536,35.950,-23.987
0.576,0.529,-0.534,-21.851,34.363,-22.278
0.598,0.537,-0.524,-18.921,33.142,-22.766
0.606,0.541,-0.517,-16.541,31.128,-23.437
0.603,0.531,-0.523,-11.902,29.968,-24.597
0.610,0.525,-0.541,-7.385,29.846,-26.001
0.604,0.525,-0.569,-3.967,30.273,-24.902
0.587,0.525,-0.606,-0.488,32.532,-23.071
0.569,0.528,-0.639,0.305,36.194,-20.386
0.534,0.535,-0.653,-1.343,39.001,-16.724
0.514,0.546,-0.655,-3.235,38.574,-12.817
0.528,0.564,-0.649,-5.127,35.706,-8.545
0.535,0.575,-0.642,-5.920,31.677,-4.883
0.554,0.584,-0.640,-5.432,30.640,-3.052
0.579,0.594,-0.644,-4.639,31.433,-2.686
0.574,0.595,-0.659,-3.662,32.593,-4.150
0.554,0.583,-0.677,-2.258,32.959,-7.080
-1.174,-0.228,-2.461,216.125,-38.208,-26.489
-1.690,-0.337,-3.041,242.615,-25.024,-36.682
-1.944,-0.452,-3.512,263.367,-36.560,-29.358
-1.975,-0.480,-3.778,265.930,-80.383,2.258
-1.964,-0.408,-3.774,248.474,-138.611,50.598
-1.986,-0.280,-3.531,223.938,-185.425,104.126
-1.881,-0.119,-3.225,200.439,-208.679,157.043
-1.759,0.064,-2.890,174.622,-223.694,210.327
-1.655,0.239,-2.481,141.541,-242.187,258.606
-1.570,0.398,-1.951,112.854,-259.338,294.556
-1.467,0.597,-1.310,91.309,-274.719,313.782
-1.275,0.916,-0.548,75.195,-294.922,310.059
-1.022,1.382,0.447,68.726,-317.749,269.897
-1.001,1.863,1.895,73.425,-330.139,187.378
-0.737,2.583,3.706,76.782,-344.971,76.782
-0.716,2.589,4.000,119.080,-389.221,-47.974
-0.696,2.105,4.000,223.938,-414.185,-147.400
-0.119,1.825,4.000,203.491,-390.076,-120.483
0.669,0.922,3.730,159.546,-313.110,50.903
0.735,1.889,4.000,67.932,-217.590,230.774
0.976,2.410,4.000,-12.024,-147.461,348.389
1.671,2.224,3.005,80.322,-73.608,373.596
1.887,2.039,1.683,133.911,-50.293,288.330
1.532,2.003,0.936,115.234,-76.233,155.273
1.091,1.802,0.609,80.261,-100.952,42.053
0.581,1.515,0.289,49.744,-95.947,-10.376
0.200,1.208,0.064,27.893,-72.083,-22.705
0.247,0.931,0.109,2.502,-59.631,-16.724
0.410,0.627,0.298,-25.085,-60.852,-5.371
0.562,0.376,0.465,-37.231,-57.983,-7.874
0.637,0.200,0.539,-36.072,-44.922,-22.217
0.591,0.098,0.515,-32.043,-32.898,-36.377
0.352,0.046,0.371,-25.391,-23.560,-43.335
0.229,0.126,0.250,-22.522,-13.245,-33.936
0.156,0.319,0.178,-25.635,0.549,-2.441
0.136,0.547,0.115,-29.358,20.142,31.311
0.127,0.723,0.035,-32.104,39.551,52.429
0.128,0.802,-0.018,-29.663,46.265,54.871
0.084,0.807,-0.043,-23.987,41.931,36.011
0.042,0.758,-0.015,-17.944,33.569,3.418
0.008,0.674,0.031,-12.268,27.100,-26.367
-0.039,0.605,0.058,-9.216,25.146,-44.250
-0.071,0.582,0.052,-6.897,28.137,-48.889
-0.101,0.594,0.019,-4.639,34.119,-47.241
-0.073,0.618,-0.004,-3.723,37.170,-45.349
-0.057,0.651,-0.018,-4.700,35.278,-45.410
0.008,0.710,-0.033,-7.141,32.593,-49.316
0.027,0.773,-0.030,-9.399,27.344,-53.833
-0.035,0.820,-0.031,-7.080,18.921,-59.998
-0.115,0.872,-0.067,-2.136,11.230,-65.796
-0.137,0.920,-0.082,3.235,5.798,-68.481
-0.092,0.915,-0.065,8.118,1.953,-66.284
0.000,0.910,-0.056,9.216,0.183,-59.509
0.118,0.921,-0.012,6.042,0.366,-51.636
0.231,0.933,0.054,-0.427,2.441,-44.678
0.339,0.935,0.132,-6.958,4.944,-41.077
0.420,0.934,0.198,-10.254,5.371,-42.236
0.453,0.931,0.223,-9.277,6.226,-46.997
0.465,0.942,0.218,-6.531,9.277,-53.467
0.434,0.939,0.180,-3.418,14.893,-60.120
0.400,0.948,0.132,-0.244,19.897,-65.857
0.383,0.984,0.100,0.610,22.888,-67.505
0.380,1.027,0.090,-1.587,24.109,-64.392
0.392,1.068,0.104,-6.409,25.635,-59.082
0.436,1.104,0.135,-11.963,30.334,-51.941
0.486,1.116,0.159,-16.296,35.645,-47.241
0.538,1.118,0.153,-18.921,42.786,-44.189
0.568,1.100,0.132,-17.456,49.377,-45.166
0.585,1.093,0.105,-14.099,51.758,-51.208
0.592,1.089,0.084,-11.597,51.392,-58.594
0.564,1.077,0.080,-11.597,50.354,-65.491
0.516,1.058,0.094,-15.259,49.988,-68.970
0.479,1.054,0.111,-20.142,52.185,-67.749
0.446,1.051,0.096,-22.339,56.152,-63.965
0.487,1.015,0.052,-19.165,60.852,-61.157
0.565,0.959,0.006,-12.573,61.951,-63.843
0.613,0.921,-0.000,-8.179,57.556,-75.073
0.618,0.865,0.012,-5.188,50.232,-91.309
0.580,0.813,0.038,-3.052,41.321,-107.727
0.508,0.797,0.069,-0.671,33.875,-117.676
0.419,0.803,0.052,6.165,32.104,-117.065
0.371,0.793,-0.043,19.897,37.537,-108.398
0.399,0.777,-0.160,31.921,45.288,-96.130
0.474,0.775,-0.244,35.034,48.523,-83.679
0.543,0.776,-0.289,29.358,47.119,-73.914
0.589,0.788,-0.274,17.761,42.542,-67.322
0.639,0.811,-0.199,4.272,36.987,-62.317
0.668,0.810,-0.137,-4.578,34.790,-56.396
0.711,0.800,-0.094,-8.423,34.973,-50.903
0.737,0.766,-0.073,-8.179,36.499,-47.180
0.746,0.732,-0.081,-5.249,39.063,-46.997
0.714,0.716,-0.106,0.244,43.213,-48.340
0.637,0.721,-0.138,5.554,46.692,-49.500
0.585,0.737,-0.192,12.451,48.767,-48.462
0.555,0.748,-0.231,18.677,48.340,-46.570
0.523,0.785,-0.261,17.822,45.044,-38.330
0.517,0.806,-0.292,13.489,43.335,-28.625
0.538,0.815,-0.320,4.822,45.105,-20.996
0.577,0.808,-0.329,-5.615,47.791,-16.052
0.623,0.786,-0.312,-14.648,49.744,-13.977
0.646,0.768,-0.288,-19.897,49.500,-18.005
0.657,0.750,-0.260,-20.447,44.739,-28.442
0.649,0.731,-0.244,-17.334,37.231,-41.992
0.627,0.715,-0.239,-13.428,30.945,-55.115
0.594,0.701,-0.240,-10.132,27.649,-64.636
0.573,0.681,-0.239,-7.568,26.306,-68.787
0.555,0.655,-0.261,-6.836,26.001,-67.871
0.570,0.651,-0.253,-9.583,24.902,-58.777
0.580,0.645,-0.226,-13.184,22.217,-46.204
0.612,0.644,-0.204,-17.700,23.499,-34.851
0.652,0.656,-0.189,-21.423,29.114,-25.818
0.671,0.666,-0.182,-23.560,35.339,-18.005
0.675,0.665,-0.192,-23.193,40.161,-13.550
0.680,0.664,-0.211,-21.790,42.542,-12.390
0.696,0.667,-0.223,-20.691,41.992,-12.451
0.702,0.662,-0.232,-20.386,39.246,-11.963
0.700,0.647,-0.243,-19.775,37.476,-11.597
0.693,0.641,-0.252,-20.020,37.842,-11.353
0.695,0.648,-0.248,-20.691,38.574,-10.315
0.088,-0.160,-2.649,172.241,-13.184,29.297
-0.048,-0.208,-2.991,199.707,-13.550,23.682
-0.234,-0.195,-3.241,209.045,-28.870,9.888
-0.588,-0.140,-3.331,203.552,-66.223,-14.099
-1.099,-0.045,-3.360,191.345,-116.699,-45.837
-1.578,-0.006,-3.335,181.458,-172.668,-75.745
-2.152,0.062,-3.210,159.119,-237.732,-83.984
-2.649,0.176,-2.810,109.558,-322.632,-55.786
-2.963,0.415,-2.092,37.292,-422.119,14.099
-3.172,0.547,-0.770,-63.232,-509.766,110.107
-3.336,0.907,1.303,-171.143,-565.796,212.769
-3.645,1.285,3.725,-208.984,-568.176,317.322
-3.590,1.656,4.000,-118.774,-503.479,421.875
-3.422,2.628,4.000,12.756,-427.185,515.503
-2.819,3.930,4.000,87.280,-386.902,598.694
-1.807,4.000,4.000,101.868,-355.408,657.288
-0.626,4.000,3.962,105.347,-313.721,682.983
0.160,4.000,3.514,86.792,-290.649,670.166
1.063,4.000,2.716,53.589,-289.246,632.935
2.424,4.000,1.557,71.533,-300.293,532.471
3.736,3.848,1.083,19.409,-326.050,352.539
4.000,2.133,1.224,-59.509,-334.656,181.030
3.719,0.769,1.745,-125.732,-274.475,52.002
2.917,-0.276,1.993,-144.470,-150.696,-34.607
1.695,-0.701,1.849,-125.122,-20.813,-97.595
0.345,-0.682,1.348,-80.994,73.730,-142.456
-0.822,-0.412,0.515,-17.761,104.370,-169.373
-1.642,-0.025,-0.357,31.555,93.384,-174.683
-1.920,0.318,-1.025,45.593,67.566,-146.545
-1.782,0.474,-1.304,27.283,38.696,-91.125
-1.308,0.517,-1.085,-7.874,8.911,-39.124
-0.794,0.518,-0.591,-36.316,-15.686,-10.559
-0.336,0.450,-0.200,-40.222,-23.987,-10.620
-0.051,0.465,0.052,-28.076,-20.813,-29.724
-0.013,0.517,0.199,-14.038,-16.663,-55.847
-0.096,0.519,0.185,0.610,-11.108,-83.008
-0.151,0.517,0.139,11.536,-7.874,-97.412
-0.199,0.452,0.096,16.541,-2.991,-96.252
-0.231,0.334,0.053,18.860,-0.427,-87.341
-0.229,0.269,0.028,18.066,-6.348,-71.228
-0.170,0.360,0.102,10.986,-14.343,-44.006
-0.039,0.480,0.194,3.357,-14.221,-10.010
0.157,0.616,0.226,2.380,-6.714,20.386
0.304,0.780,0.192,9.583,3.174,35.583
0.365,0.917,0.136,23.560,8.728,26.184
0.358,1.053,0.044,40.222,7.080,0.610
0.285,1.164,-0.055,50.476,2.258,-26.550
0.194,1.173,-0.145,52.551,1.343,-48.279
0.117,1.170,-0.176,47.424,4.700,-56.702
0.052,1.153,-0.182,33.875,13.000,-51.697
0.085,1.131,-0.133,16.663,28.076,-43.579
